timestamp,temperature[degC],humidity[%],no2[ppb],co[ppm],no2[V],co[V],latitude[deg],longitude[deg],altitude[m]
10/8/2016 13:05,25.45,49.77,103.55,2.65,-0.82779,-1.99395,---,---,---
10/8/2016 13:05,25.44,49.78,104.59,2.38,-0.8278,-1.99436,---,---,---
10/8/2016 13:05,25.44,49.78,94.77,2.47,-0.82766,-1.99424,---,---,---
10/8/2016 13:05,25.43,49.79,90.09,2.81,-0.82759,-1.99374,---,---,---
10/8/2016 13:05,25.42,49.8,89.57,2.7,-0.82758,-1.99391,---,---,---
10/8/2016 13:05,25.42,49.81,85.68,3.09,-0.82752,-1.99334,---,---,---
10/8/2016 13:05,25.42,49.81,80.91,3.05,-0.82745,-1.99341,---,---,---
10/8/2016 13:05,25.41,49.82,77.38,3.41,-0.8274,-1.99289,---,---,---
10/8/2016 13:05,25.4,49.83,76.89,3.04,-0.82739,-1.99343,---,---,---
10/8/2016 13:05,25.4,49.83,78.37,3.07,-0.82741,-1.99339,---,---,---
10/8/2016 13:05,25.39,49.84,79.28,2.94,-0.82743,-1.99359,---,---,---
10/8/2016 13:05,25.39,49.85,80.75,3.39,-0.82745,-1.99294,---,---,---
10/8/2016 13:06,25.38,49.85,83.31,3.12,-0.82748,-1.99334,---,---,---
10/8/2016 13:06,25.37,49.85,86.32,2.67,-0.82753,-1.994,---,---,---
10/8/2016 13:06,25.37,49.85,83.79,2.7,-0.82749,-1.99396,---,---,---
10/8/2016 13:06,25.36,49.85,85.3,2.53,-0.82751,-1.99423,---,---,---
10/8/2016 13:06,25.36,49.85,87.2,2.81,-0.82754,-1.99382,---,---,---
10/8/2016 13:06,25.35,49.86,84.71,2.76,-0.8275,-1.99389,---,---,---
10/8/2016 13:06,25.35,49.86,86.49,3.54,-0.82753,-1.99276,---,---,---
10/8/2016 13:06,25.34,49.86,89.84,3.99,-0.82757,-1.9921,---,---,---
10/8/2016 13:06,25.34,49.87,88.5,3.99,-0.82755,-1.9921,---,---,---
10/8/2016 13:06,25.33,49.87,87.63,3.72,-0.82754,-1.99251,---,---,---
10/8/2016 13:06,25.33,49.88,89.17,4.22,-0.82756,-1.99178,---,---,---
10/8/2016 13:06,25.32,49.88,87.12,4.57,-0.82753,-1.99126,---,---,---
10/8/2016 13:07,25.32,49.89,87.41,4.83,-0.82754,-1.99089,---,---,---
10/8/2016 13:07,25.31,49.91,85,5.13,-0.8275,-1.99045,---,---,---
10/8/2016 13:07,25.31,49.93,83.16,5.11,-0.82747,-1.99048,---,---,---
10/8/2016 13:07,25.3,49.95,82.97,5.17,-0.82747,-1.99041,---,---,---
10/8/2016 13:07,25.3,49.96,83,5.05,-0.82747,-1.99059,---,---,---
10/8/2016 13:07,25.29,49.98,80.42,4.88,-0.82743,-1.99084,---,---,---
10/8/2016 13:07,25.28,49.99,84.99,4.83,-0.8275,-1.99093,---,---,---
10/8/2016 13:07,25.28,50.03,82.09,5.05,-0.82745,-1.99061,---,---,---
10/8/2016 13:07,25.27,50.06,82.66,5.86,-0.82746,-1.98942,---,---,---
10/8/2016 13:07,25.27,50.1,82.72,5.94,-0.82746,-1.98931,---,---,---
10/8/2016 13:07,25.26,50.13,86.06,6.45,-0.82751,-1.98857,---,---,---
10/8/2016 13:07,25.25,50.16,88.07,6.5,-0.82754,-1.9885,---,---,---
10/8/2016 13:08,25.25,50.18,87.83,6.65,-0.82753,-1.98829,---,---,---
10/8/2016 13:08,25.24,50.21,91.03,6.84,-0.82758,-1.98801,---,---,---
10/8/2016 13:08,25.23,50.23,89.04,6.93,-0.82755,-1.98789,---,---,---
10/8/2016 13:08,25.23,50.26,91.73,6.47,-0.82759,-1.98857,---,---,---
10/8/2016 13:08,25.22,50.28,91.55,6.53,-0.82758,-1.98849,---,---,---
10/8/2016 13:08,25.22,50.3,91.79,6.48,-0.82759,-1.98858,---,---,---
10/8/2016 13:08,25.21,50.32,87.6,7.2,-0.82752,-1.98752,---,---,---
10/8/2016 13:08,25.21,50.35,88.49,6.74,-0.82754,-1.9882,---,---,---
10/8/2016 13:08,25.2,50.38,89.23,6.33,-0.82755,-1.98881,---,---,---
10/8/2016 13:08,25.2,50.4,89.83,6.32,-0.82755,-1.98883,---,---,---
10/8/2016 13:08,25.19,50.44,93.36,6.14,-0.82761,-1.98909,---,---,---
10/8/2016 13:08,25.19,50.47,92.78,5.9,-0.8276,-1.98945,---,---,---
10/8/2016 13:09,25.18,50.49,95.62,6.43,-0.82764,-1.98868,---,---,---
10/8/2016 13:09,25.18,50.51,94.75,6.56,-0.82762,-1.98849,---,---,---
10/8/2016 13:09,25.17,50.54,93.02,6.2,-0.8276,-1.98903,---,---,---
10/8/2016 13:09,25.17,50.56,95.07,5.6,-0.82763,-1.98991,---,---,---
10/8/2016 13:09,25.16,50.58,93.83,5.29,-0.82761,-1.99038,---,---,---
10/8/2016 13:09,25.16,50.61,96.9,5.23,-0.82765,-1.99047,---,---,---
10/8/2016 13:09,25.15,50.64,92.73,4.77,-0.82759,-1.99115,---,---,---
10/8/2016 13:09,25.15,50.67,89.71,4.52,-0.82755,-1.99152,---,---,---
10/8/2016 13:09,25.14,50.69,89.54,4.58,-0.82754,-1.99144,---,---,---
10/8/2016 13:09,25.14,50.72,87.07,4.31,-0.82751,-1.99185,---,---,---
10/8/2016 13:09,25.13,50.75,84.09,4.37,-0.82746,-1.99176,---,---,---
10/8/2016 13:09,25.13,50.78,83.35,3.95,-0.82745,-1.99238,---,---,---
10/8/2016 13:10,25.13,50.8,77.07,4.12,-0.82736,-1.99214,---,---,---
10/8/2016 13:10,25.12,50.82,80.54,4.74,-0.82741,-1.99123,---,---,---
10/8/2016 13:10,25.12,50.84,79.52,4.73,-0.82739,-1.99125,---,---,---
10/8/2016 13:10,25.11,50.85,75.51,4.22,-0.82733,-1.99201,---,---,---
10/8/2016 13:10,25.11,50.86,70.21,3.44,-0.82725,-1.99315,---,---,---
10/8/2016 13:10,25.1,50.88,68.12,3.12,-0.82722,-1.99362,---,---,---
10/8/2016 13:10,25.1,50.89,68.19,2.57,-0.82722,-1.99444,---,---,---
10/8/2016 13:10,25.09,50.91,72,2.44,-0.82728,-1.99464,---,---,---
10/8/2016 13:10,---,50.92,---,---,---,---,---,---,---
10/8/2016 13:10,25.09,50.94,74.01,1.51,-0.82731,-1.99601,---,---,---
10/8/2016 13:10,25.08,---,76.27,1.47,-0.82734,-1.99607,---,---,---
10/8/2016 13:11,25.08,50.95,76.16,1.34,-0.82734,-1.99626,---,---,---
10/8/2016 13:11,25.08,50.98,77.15,1.19,-0.82735,-1.99649,---,---,---
10/8/2016 13:11,25.07,50.99,75.29,1.46,-0.82732,-1.99609,---,---,---
10/8/2016 13:11,25.07,51,81.92,0.67,-0.82742,-1.99725,---,---,---
10/8/2016 13:11,25.07,51.01,82.66,1.29,-0.82743,-1.99634,---,---,---
10/8/2016 13:11,25.06,51.03,78.78,1.71,-0.82737,-1.99574,---,---,---
10/8/2016 13:11,---,---,---,2.17,---,-1.99506,---,---,---
10/8/2016 13:11,25.06,51.04,75.29,---,-0.82732,---,---,---,---
10/8/2016 13:11,25.06,51.06,71.2,2.31,-0.82726,-1.99487,---,---,---
10/8/2016 13:11,25.05,51.06,72.01,1.67,-0.82727,-1.99581,---,---,---
10/8/2016 13:11,25.05,51.06,72.4,1.55,-0.82728,-1.99599,---,---,---
