Lat,Lon,featureNam,pcode,featureRef,popPlaceCl,popPlace_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod,date,validOn,validTo
31.7743901,35.27968118,Jabal al Baba,PS01999885,Jabal al Baba,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.77376141,35.28519856,Wadi al Jimel,PS01999884,Wadi al Jimel,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.86054406,35.26840477,Ma'azi Jaba',PS01999882,Maazi Jaba,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.90113845,35.32503533,Wadi as Seeq,PS01999877,Wadi as Seeq,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.82779773,35.26784267,Tublas,PS01999876,Tublas,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.81917656,35.27066644,North 'Anata Bedouins,PS01999807,North Anata Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.80584954,35.2646237,South 'Anata Bedouins (Wa'ar al Beik),PS01999871,South Anata Bedouins (Waar al Beik),0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.76179098,35.29351012,Abu Nuwar,PS01999959,Abu Nuwar,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.75938745,35.2851052,Arab al Jahilin - al Jabal,PS01999869,Arab al Jahilin - al Jabal,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
32.0044834,35.06033744,Deir Abu Masha'al Herders,PS01999808,Deir Abu Mashaal Herders,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
32.1321783,35.06124555,Abu Sultan,PS01999797,Abu Sultan,0,,Salfit,PS0125,State of Palestine,PS,1/1/2004,12/18/2015,
31.70281878,35.24304846,Jabal Harasah,PS01999765,Jabal Harasah,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
31.81177821,35.33906564,Khan Al Ahmar - Abu al Helu,PS01999862,Khan Al Ahmar - Abu al Helu,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.84064562,35.18177161,South Al Jib Bedouins,PS01999825,South Al Jib Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.72427831,35.19658292,khirbet Khamis,PS01999770,khirbet Khamis,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.81352119,35.2995336,Abu George Road Bedouins - Nkheila,PS01999806,Abu George Road Bedouins - Nkheila,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.80554905,35.33643216,Khan al Ahmar - Abu Falah,PS01999848,Khan al Ahmar - Abu Falah,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.89625454,35.41961767,Ein ad Duyuk al Fauqa Bedouins,PS01999903,Ein ad Duyuk al Fauqa Bedouins,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.97763776,35.341204,Ein Samiya,PS01301580,Ein Samiya,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.75881736,35.31756764,Wadi Abu Hindi,PS01999942,Wadi Abu Hindi,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
32.37014084,35.4991838,Khirbet Tell el Himma,PS01050470,Khirbet Tell el Himma,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
31.86628982,35.25410249,Abu Shusheh Bedouins,PS01999766,Abu Shusheh Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.91855475,35.32127837,Dar Faza'a,PS01999850,Dar Fazaa,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.35106282,34.92791957,Tatrit,PS01999980,Tatrit,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.19795001,35.45527901,Humsa - Basaliya,PS01999858,Humsa - Basaliya,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
31.86964773,35.49951836,Al Mashru' Bedouins,PS01999793,Al Mashru Bedouins,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.85399193,35.43515967,Isteih,PS01999792,Isteih,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.84348165,35.2328238,Beit Hanina - Dahiyat Al Bareed,PS01999773,Beit Hanina - Dahiyat Al Bareed,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.9392605,35.32863883,East Tayba Bedouins,PS01999772,East Tayba Bedouins,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
